erosion,cache_hit,hazard,price_multiplier,scenario,irr_annual,payback_month,end_equity_usd,end_equity_going_concern_usd,end_equity_after_tail_usd,peak_capital_usd,end_nodes
0.16351324377147886,0.7022308464072708,0.019707656210225206,0.7268163645268951,悲观,,,-456503.65225106146,-471903.407220009,-456503.65225106146,132514.6870444808,1
0.16736001766274416,0.7637918420216409,0.010639821705105273,0.8289831732488463,中性,,,53025.316896053446,37625.56192710587,53025.316896053446,132514.6870444808,1
0.2808008724441486,0.8055076357282904,0.02131082641302579,0.7264856607296173,乐观,,,-1977.429909336759,-17377.184878284334,-1977.429909336759,132514.6870444808,1
0.2196577534398718,0.7535403668431736,0.020650312023526428,0.7442629337801017,中性,,,-95966.50550398417,-111366.26047293174,-95966.50550398417,132514.6870444808,1
0.2946822753928881,0.8627366928136899,0.02802642993237979,0.8014531700732397,中性,,,-192505.2562371611,-207905.0112061087,-192505.2562371611,132514.6870444808,1
0.31994816430553463,0.7254681660186083,0.025934559058626714,0.7976566586069693,悲观,,,-520622.84453803004,-536022.5995069776,-520622.84453803004,132514.6870444808,1
0.02882365882917748,0.8520783706494712,0.006389197922671948,0.7122445744534623,中性,,,112454.99587769326,97055.24090874569,112454.99587769326,132514.6870444808,1
0.06919777807663752,0.7253344087524775,0.02356731416812714,0.6058731374240283,乐观,0.002937961443100656,36.0,126063.30165495543,168499.48382684868,-443920.0947249104,265029.3740889616,2
0.34261920942982327,0.7393427775659716,0.00884032247651587,0.8403361631780324,悲观,,,-522879.356910277,-538279.1118792245,-522879.356910277,132514.6870444808,1
0.145967744431301,0.8800230034162334,0.029886611814590926,0.9088419565418342,中性,,,104941.6272474851,89541.87227853753,104941.6272474851,132514.6870444808,1
0.275066019666437,0.819297527716163,0.014696042379091244,0.8563554538344638,悲观,,,-493206.9167248902,-508606.67169383774,-493206.9167248902,132514.6870444808,1
0.0836230634408966,0.7760211927121428,0.009093782606457396,0.6663627471506134,乐观,0.21923223579919426,28.0,207257.0939241562,250702.46244908805,-261919.70844405456,265029.3740889616,2
0.3956532010734422,0.7834326627268277,0.025976743272042836,0.9961286657305091,悲观,,,-520955.23016273597,-536354.9851316835,-520955.23016273597,132514.6870444808,1
0.17929824530174043,0.7442174518020608,0.007001232091154625,0.9021320691178978,中性,,,106509.078727507,91109.32375855943,106509.078727507,132514.6870444808,1
0.18773077367616053,0.6861615137151776,0.009523166305771703,0.962841448862486,悲观,,,-384953.1373786593,-400352.89234760683,-384953.1373786593,132514.6870444808,1
0.0931409139774825,0.7200942392754868,0.017254938560039658,0.8345780692059184,中性,,,92036.77275936128,293468.58419070236,-557474.691696817,265029.3740889616,2
0.03364613382275281,0.7084801889733713,0.02608970961906353,0.8550354801913835,中性,,,102418.87676376729,528256.310922681,-451178.57240581705,265029.3740889616,2
0.268081302140542,0.833096724569487,0.006452712043036183,0.7466433539730449,中性,,,-186113.1967422167,-201512.9517111643,-186113.1967422167,132514.6870444808,1
0.1353825933189304,0.8526749295889248,0.017064312714682346,0.9074510357837516,乐观,0.979058956625539,18.0,253336.63676130548,447968.01980631764,-1109708.9985844255,530058.7481779231,4
0.20191659316139923,0.868292538529124,0.019678098513424513,0.9401097195334887,中性,,,43868.1915946175,28468.436625669925,43868.1915946175,132514.6870444808,1
0.1995267834125941,0.7775386498410987,0.007624492897401764,0.7594210026806163,乐观,,,64744.78751615977,-112237.98650560467,-488852.66165342455,265029.3740889616,2
0.252332896145897,0.6926015797848722,0.013471390890240124,0.67664120386508,悲观,,,-518190.71581062995,-533590.4707795775,-518190.71581062995,132514.6870444808,1
0.3709841834016107,0.7575697587816492,0.012688376810519653,0.8393908766230946,悲观,,,-538863.1252066494,-554262.880175597,-538863.1252066494,132514.6870444808,1
0.11120884264032554,0.8187280317677342,0.020844244326731574,0.9927223790170142,中性,,,59426.6213092309,274621.1755580607,-510556.7750706349,265029.3740889616,2
0.19100234945109312,0.8327438151641618,0.027583196799101324,0.8882783786873406,乐观,0.5833575875711643,20.0,209374.25021767966,92604.9104541305,-671377.8683219391,397544.06113344233,3
0.3128020682952709,0.8580323451828624,0.007852601779590929,0.892965401197515,中性,,,-155980.5274921921,-171380.2824611397,-155980.5274921921,132514.6870444808,1
0.2212415209645101,0.8069845782757656,0.029245377917639235,0.9938312325726498,中性,,,82057.49662106569,66657.74165211811,82057.49662106569,132514.6870444808,1
0.29350139897516647,0.8299960491044645,0.013662321532826219,0.6495479099456883,悲观,,,-557419.7046572679,-572819.4596262155,-557419.7046572679,132514.6870444808,1
0.31093725101167147,0.7675279380360575,0.029638504237373152,0.7859893824774612,乐观,,,24658.053823367023,9258.298854419449,24658.053823367023,132514.6870444808,1
0.16463040087762396,0.8404837161343934,0.007120481807795801,0.8221846840551056,乐观,0.3710925552630593,23.0,140219.96989886204,24355.80701755482,-876504.3888113062,397544.06113344233,3
0.3698806668879555,0.8474199417481836,0.005924268180029356,0.7490809365226937,悲观,,,-566714.2855568402,-582114.0405257879,-566714.2855568402,132514.6870444808,1
0.0437129164458232,0.8120733508801962,0.022831454907792453,0.9094882731006505,乐观,1.7286278999644749,15.0,637540.9413767527,1517721.5590192052,-601803.5816168562,530058.7481779231,4
0.29577258739060397,0.8422091821055917,0.006224092745581981,0.6938140601765195,中性,,,-259065.04471624858,-274464.79968519614,-259065.04471624858,132514.6870444808,1
